Molecule ChEMBL ID,Smiles
D043,O=C(NCCCN1CCCC1=O)c1cnc(NCc2cc(Cl)ccc2Cl)nc1NC1CCCC1
D044,O=C(NCCCN1CCOC1=O)c1cnc(NCc2cc(Cl)ccc2Cl)nc1NC1CCCC1
D045,Cc1c(C(=O)N2CCOc3ccc(-c4ccc(N)nc4)cc3C2)ccc(S(C)(=O)=O)c1F
D046,COc1cc2ncc3c(N)nc4c(C)c(N)ccc4c3c2cc1OC
D047,O=C1C=CC(=c2ccc(=C3NNC4=C3Cc3cc(C(=O)NCc5ccncc5)ccc34)cc2)C=C1
D048,N#Cc1ncc2nc1OCCCCOc1cc(NCc3cncs3)c(Cl)cc1NC(=O)N2
D049,CCN(CC)CC=Cc1[nH]c(=O)c2c(ccc3nc(Nc4c(Cl)cccc4Cl)n(C)c32)c1C
D050,N#Cc1ncc2nc1OCCCCCOc1cc(OCCCO)c(Cl)cc1NC(=O)N2
D051,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(CCN(C)C)C(C)C(N)=O
D052,CCOc1nc(C(=O)NCc2ccc(S(C)(=O)=O)cc2)cc(N)c1Cl
D053,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CCCC1CC(N)=O
D054,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)C1CCNC1=O
D055,COc1cc(S(C)(=O)=O)c(OC)cc1CC(=O)Nc1cc(N)c(C#N)c(OC(C)C)n1
D056,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)CC(N)=O
D057,COCC(C(N)=O)N(C)Cc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OC
D058,CC(C)c1nnc2ccc(-c3ocnc3-c3ccccc3)cn12
D059,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)C(C)C(=O)N(C)C
D060,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CNC(C)C(N)=O
D061,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CCC(C(N)=O)C1
D062,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)C(CN(C)C)C(N)=O
D063,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CCCC1C(=O)N(C)C
D064,COCCN(Cc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OC)C(C)C(N)=O
D065,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)C1(C(N)=O)CCN(C(C)C)CC1
D066,CNC(=O)C1CCCN1Cc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OC
D067,COc1cc(-c2ccc3c(c2)Nc2ccc(C(C)(C)C(=O)Nc4ccc(N5CCOCC5)cc4)cc2NC3=O)ccc1N
D068,COc1cc(-c2ccc3c(c2)Nc2ccc(CC(=O)Nc4ccc(N5CCOCC5)cc4)cc2NC3=O)ccc1N
D069,CC(C)NCc1ccc(NC2=CC(=c3ccc(=C4C=CC(=O)C=C4O)cc3)NN2)cc1
D070,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)C1(C(N)=O)CN(C(C)C)C1
D071,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CCCC1
D072,O=C1C=CC(=c2ccc(=C3NNC4=C3Cc3cc(C(=O)NC5CCC(O)CC5)ccc34)cc2)C=C1
D073,Cc1ccc(C(=O)NC2CC2)cc1-c1ccc(C(=O)NCC2CC2)cc1
D074,Cc1ccc(C(=O)Nc2cccc(N3CCOCC3)c2)cc1-c1ccc2c(C3CCNCC3)noc2c1
D075,Cc1ccc(NC(=O)c2ccnc(N3CCCC3)c2)cc1-c1ccc2c(C3CCNCC3)noc2c1
D076,Cc1nnc(-c2ccc(-c3cc(NC(=O)c4ccnc(N5CCCC5)c4)ccc3C)c(C)c2)o1
D077,Cc1ccc(C(=O)NC2CC2)cc1-c1ccc2c(C3CCNCC3)noc2c1
D078,Cc1nnc(-c2ccc(-c3cc(C(=O)NC4CC4)ccc3C)c(C)c2)o1
D079,Cc1nnc(-c2ccc(-c3cc(C(=O)Nc4cccc(N5CCOCC5)c4)ccc3C)c(C)c2)o1
D080,Cc1cnc(Nc2ccc(F)cc2Cl)nc1-c1c[nH]c(C(=O)NC(CO)c2cccc(Cl)c2)c1
D081,NCCn1cc(-c2cc(-c3cc4ccccc4s3)c3[nH]ncc3c2)c2nc(N)ncc21
D082,COc1ccc(N2Cc3cnc(Nc4ccc(F)cc4)nc3N(C3CCC(O)C3)C2=O)cc1
D083,Cc1cncc2cccc(S(=O)(=O)N3CCCNCC3C)c12
D084,CN(c1ncccc1CNc1nc(Nc2ccc3c(c2)CC(=O)N3)ncc1C(F)(F)F)S(C)(=O)=O
D085,O=C(Cc1ccccc1)Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)c1
D086,COc1ccc(N2CCN(C)CC2)cc1Nc1ncc2c(n1)-c1c(c(C(N)=O)nn1C)CC2
D087,O=C(Cc1ccc2ccccc2c1)Nc1cc(C2CC2)[nH]n1
D088,NC(=O)c1cc2c(Oc3ccc(Br)cc3)cncc2s1
D089,CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3c(F)ccc(F)c3Cl)CCN4)cn2)CC1
D090,COc1cccc(Nc2ncnc3ccccc23)c1
D091,COc1ccc(-c2cc3nccn3c(Nc3ncccc3C(N)=O)n2)cc1OC
D092,Cn1c(=O)c(Oc2ccc(F)cc2F)cc2cnc(NC3CCOCC3)nc21
D093,CC(C)CC(=O)Nc1n[nH]c2c1CN(C(=O)C1CCN(C)CC1)C2(C)C
D094,CC(C)(C)C(=O)Oc1ccc2c(c1)nc(NC(=O)c1cccc([N+](=O)[O-])c1)n2CCCO
D095,COc1cc(Nc2ncc([N+](=O)[O-])c(Nc3ccccc3C(N)=O)n2)cc(OC)c1OC
D096,Cc1cccc(NC(=O)Nc2ccc3c(c2)CCc2sc4ncnc(N)c4c2-3)c1
D097,O=C(Nc1n[nH]c2cc(C(=O)NC(CN3CCCC3)c3ccccc3)sc12)c1ccc(N2CCOCC2)cc1
D098,NC(=O)c1cc(-c2ccnc(N)n2)[nH]c1-c1ccccc1
D099,Cc1ccc(CNc2ccc3nnc(-c4ccccc4)n3n2)cc1
D100,Cc1nc(COc2ccccc2Cl)sc1-c1ccnc(N)n1
D101,Cn1cc(C=C2C(=O)Nc3cccnc32)c2ccccc21
D102,O=C(CO)N1CCC(c2[nH]nc(-c3ccc(Cl)cc3F)c2-c2ccncn2)CC1
D103,NC1C2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)CC12
D104,c1ccc(Cc2cn(-c3ccc4[nH]ncc4c3)nn2)cc1
D105,Nc1n[nH]c2ccc(-c3cn(Cc4ccccc4)nn3)cc12
D106,Nc1n[nH]c2ccc(-c3cc(Cc4ccccc4)no3)cc12
D107,c1cnc2nc(-c3ccc4[nH]ncc4c3)cn2c1
D108,c1ccc(Nc2nc(-c3ccc4[nH]ncc4c3)cs2)cc1
D109,c1ccc(CNc2nc(-c3ccc4[nH]ncc4c3)cs2)cc1
D110,c1cnc2nc(-c3ccc4[nH]ncc4c3)c(NC3CCCCC3)n2c1
D111,CC(C)Nc1c(-c2ccc3[nH]ncc3c2)nc2ncccn12
D112,CCCCNc1c(-c2ccc3[nH]ncc3c2)nc2ncccn12
D113,Fc1ccc(-c2ncn(CCN3CCOCC3)c2-c2ccc3[nH]ncc3c2)cc1
D114,CSc1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1
D115,CN1CCN(c2ccc(OC(F)(F)F)c(Nc3ncc4c(n3)-c3c(c(C(N)=O)nn3CCO)CC4)c2)CC1
D116,CC(Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl
D117,Cc1cccc(NC(=O)Nc2ccc(-c3cccc4c3CNC4=O)cc2C)c1
D118,Cc1ccc(NC(=O)Nc2ccc(-c3cccc4c3CNC4=O)cc2)cc1C
D119,Cc1cccc(NC(=O)Nc2ccc(-c3cccc4c3CNC4=O)cc2)c1
D120,CN1CCN(c2ccc(OC(F)(F)F)c(Nc3nccc(-c4cc(C(N)=O)cn4C)n3)c2)CC1
D121,CN1CCN(c2ccc(OC(F)(F)F)c(Nc3nccc(-c4cc5c(n4C)CCNC5=O)n3)c2)CC1
D122,O=c1cc(-c2ccncc2)[nH]c(NC2CCCCC2)n1
D123,Cc1cccc(NC(=O)Nc2ccc(-c3csc4ncnc(N)c34)cc2)c1
D124,Cc1cccc(-c2[nH]c(-c3ccnc(N)n3)cc2C(N)=O)c1C
D125,FC(F)(F)c1ccc(Cn2cc(-c3ccc4[nH]ncc4c3)nn2)c(C(F)(F)F)c1
D126,Cc1ccc2nccc(NC(=O)Nc3cccc(C(F)(F)F)n3)c2c1
D127,O=C(NCc1ccccc1)Nc1ncc([N+](=O)[O-])s1
D128,Cc1cc(C)cc(NC(=O)Nc2ccc3c(c2)CCc2sc4ncnc(N)c4c2-3)c1
D129,Cn1nc(N)c2c(-c3ccc(NC(=O)Nc4cccc(C(F)(F)F)c4)cc3)cncc21
D130,NC(=O)c1cc2c(Oc3cccc(F)c3)cncc2s1
D131,CS(=O)(=O)NCCOc1cncc(-c2ccc3cnccc3c2)c1
D132,O=C(NC(CO)c1ccccc1)N1CC=C(c2c[nH]c3ncccc23)CC1
D133,Cc1ccc(C(=O)Nc2c(C(N)=O)sc3ccc(Cl)c(Cl)c23)cc1
D134,CC(C)Cn1c(N)nc2ccc(-c3c(-c4ccc(F)cc4)nc4sccn34)cc21
D135,Cc1cccc(NC(=O)Nc2ccc(NC(=O)c3csc4ncnc(N)c34)cc2)c1
D136,Nc1ncc(-c2ccoc2)c2scc(-c3ccc(NC(=O)Nc4ccccc4F)cc3)c12
D137,Cc1nccn2c(-c3ccnc(NCC4(O)CC4)n3)c(-c3ccc(F)cc3F)nc12
D138,CN(C)CC(=O)Nc1n[nH]c2ccc(-c3cn(Cc4ccccc4)nn3)cc12
D139,NC(=O)c1cc(-c2ccnc(N)n2)[nH]c1-c1ccc(Cl)cc1Cl
D140,CN(C)C1CCCC(Nc2nc(Cl)cc(-c3c[nH]c4ncccc34)n2)C1
D141,Cc1[nH]nc2ccc(-c3cncc(OCC(N)Cc4cccc(OC(F)(F)F)c4)c3)cc12
D142,COc1cccc(C(C)NC(=O)N2CC=C(c3c[nH]c4ncccc34)CC2)c1
D143,Cc1cccc(NC(=O)Nc2ccc(-c3csc4c(C#CCN)cnc(N)c34)cc2)c1
D144,FC(F)(F)c1cccc(CNc2cc(-c3c[nH]c4ncccc34)ncn2)c1
D145,O=C(Nc1n[nH]c2ccc(-c3cn(Cc4ccccc4)nn3)cc12)c1ccc(F)cc1
D146,NCCCNS(=O)(=O)c1cccc(C(=O)Nc2ccc(-c3n[nH]c(=O)c4ccccc34)cc2)c1
D147,CC(C)Cc1cc(-c2ccc3[nH]nc(N)c3c2)on1
D148,Nc1ncc(-c2ccoc2)c2scc(-c3ccc(NC(=O)Nc4cccc(F)c4)cc3)c12
D149,NC1CCC(Nc2nccc(-c3c[nH]c4ncccc34)n2)CC1
D150,CC1=C2C(=NC3=C(C(=O)CC(C)(C)C3)C2c2ccccc2F)NN1
D151,O=C(NNC(=S)Nc1ccc(Cl)cc1)C(O)(c1ccccc1)c1ccccc1
D152,O=c1nc2sc3c(c2c2nc(-c4ccncc4)[nH]n12)CCCC3
D153,O=C(Nc1cccc(C(F)(F)F)n1)Nc1ccnc2c(F)cccc12
D154,O=C(NCc1ccc(Cl)cc1)c1cc2c(-c3ccccc3)[nH]nc2s1
D155,Cc1cccc(NC(=O)Nc2ccc(-c3csc4c(-c5cnn(C)c5)cnc(N)c34)cc2)c1
D156,NC(COc1cncc(-c2ccc3c(c2)CC(=O)N3)c1)Cc1c[nH]c2ccccc12
D157,Nc1ncnc2scc(-c3ccc(NC(=O)Nc4ccccc4)cc3)c12
D158,CN(C)c1cccc2c(S(=O)(=O)N(CCN)c3cncc(-c4ccc5cnccc5c4)c3)cccc12
D159,CCN1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)nc2N1C1CCCC1
D160,CCCC(=O)Nc1n[nH]c2nc3ccccc3cc12
D161,CC(C)(C(N)=O)n1cc(-c2cnc(N)c3c(-c4ccc(NC(=O)Nc5cccc(F)c5)cc4)csc23)cn1
D162,Cc1cc(Nc2ncc(F)c(NC3C4C=CC(C4)C3C(N)=O)n2)ccc1N1CCN(C)CC1
D163,Cc1[nH]nc2ccc(-c3cncc(OCCN)c3)cc12
D164,CN(C)CC(C)(C)CNc1nccc(-c2c(-c3ccc(F)cc3)nc3occn23)n1
D165,O=c1nc2sccc2c2nc(-c3ccncc3)[nH]n12
D166,CCC1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)nc2N1C1CCCC1
D167,CCc1cccc(NC(=O)Nc2ccc3c(c2)CCc2sc4ncnc(N)c4c2-3)c1
D168,CCCCNc1cc(-c2c[nH]c3ncccc23)ncn1
D169,CNC(=O)C=Cc1cnc(N)c2c(-c3ccc4sc(C)nc4c3)csc12
D170,CCCC(=O)Nc1cccc(-c2nc(Nc3ccc4[nH]ncc4c3)c3cc(OCCN4CCCC4)ccc3n2)c1
D171,Cc1c(-c2cccc(OCc3ccccc3)c2)c2c(N)ncnc2n1C1CC(CN2CCCC2)C1
D172,CC(C)(CN)CNc1nc(Cl)cc(-c2c[nH]c3ncccc23)n1
D173,O=C1C=CC(=C2NNC(Nc3ccc(O)cc3)=C2c2ccc(O)cc2)C=C1
D174,COc1cccc(C(C)NC(=O)c2ccc(-c3ccncc3)c(C)c2)c1
D175,CC(C)n1nnc2ccc(-c3c(-c4ccc(F)cc4F)nc4occn34)cc21
D176,CN(C)C1CCC(Nc2nc(Cl)cc(-c3c[nH]c4ncccc34)n2)CC1
D177,COc1ccc(-c2ccc(NC(=O)Nc3cc(F)cc(F)c3)cc2)c2c(N)noc12
D178,CCCCn1c(NC(=O)c2cccc(C#N)c2)nc2cc(N(C)C(=O)C3CCCCC3)ccc21
D179,COCCNc1nccc(-c2c(-c3ccc(F)cc3)nc3cnccn23)n1
D180,O=C(Nc1cc2ncc3c[nH][nH]c(=O)c(c1)c2-3)C1CC1c1ccccc1
D181,CC(C)(C)OC(=O)n1ncc2cc(Nc3c(NCc4ccc(S(N)(=O)=O)cc4)c(=O)c3=O)ccc21
D182,Cc1cccc(Nc2nccc(Nc3c(NC(C)C(C)(C)C)c(=O)c3=O)n2)c1
D183,S=c1[nH]nc2n1-c1n[nH]c(=S)n1-c1sc3c(c1-2)CCC3
D184,CC(C)N(C)C(=O)c1c(-c2ccc3[nH]ncc3c2)nnn1Cc1ccccc1
D185,N#Cc1ccc2c(c1)C(=C1C=CC(CN3CCOCC3)=CN1)C(=O)N2
D186,CC(C)(CO)CNc1nccc(-c2c(-c3ccc(F)cc3)nc3c(Cl)nccn23)n1
D187,c1cc2[nH]ncc2cc1-c1cn(CC2CCOCC2)nn1
D188,CC1CCN(C(=O)CO)CC1N(C)c1ncnc2[nH]ccc12
D189,Cc1[nH]nc2cccc(-c3ccc(NC(=O)Nc4cccc(C(F)(F)F)c4)cc3)c12
D190,CC(C)(C)c1ccc2c(c1)=NC(=C1NNc3ccccc31)N=2
D191,CNC(=O)C(C)n1cc(-c2cnc(N)c3c(-c4ccc(NC(=O)Nc5ccc(C)cc5)cc4)csc23)cn1
D192,Cc1[nH]nc2c1C(c1ccccc1Cl)C(C#N)=C(N)O2
D193,Cc1cc(C)cc(NC(=O)Nc2ccc(NC(=O)c3csc4ncnc(N)c34)cc2)c1
D194,COc1cccc(C(C)NC(=O)c2ccc(-c3ccncc3C)cc2)c1
D195,NC(=O)c1cc(-c2cccc(N)c2)cc2cccnc12
D196,Nc1noc2cccc(-c3cccc(O)c3)c12
D197,COc1cc(C=C2SC(Nc3ccccc3)=NC2=O)ccc1O
D198,O=C(NCc1ccc(Br)cc1)Nc1ccc2[nH]ncc2c1
D199,Cc1[nH]nc2ccc(-c3cncc(OCC(N)Cc4c[nH]c5ccccc45)c3)cc12
D200,CCCC(=O)Nc1nn(C(=O)CC)c2nc3ccccc3cc12
D201,O=C(O)c1ccccc1Nc1ccnc(NCc2cccc(O)c2)n1
D202,Cc1cc(C)cc(NC(=O)Nc2ccc(-c3cccc4c3CNC4=O)c(C(F)(F)F)c2)c1
D203,CNS(=O)(=O)c1ccccc1Nc1nc(Nc2cc(N3CCN(C(C)=O)CC3)ccc2OC)ncc1Br
D204,Cc1cccc(NC(=O)Nc2ccc(-c3cccc(C(N)=O)c3)cc2)c1
D205,Cc1nccn2c(-c3ccnc(NCC(C)(C)C(=O)O)n3)c(-c3ccc(F)cc3F)nc12
D206,CC(C)(CNc1cc(-c2c[nH]c3ncccc23)cc(Cl)n1)CNS(C)(=O)=O
D207,Fc1ccc(-c2nc3occn3c2-c2ccnc(NC3CCNCC3)n2)cc1
D208,CN1CCN(c2cccc(Nc3nccc(-c4c(C(N)=O)nc5ccccn45)n3)c2)CC1
D209,Cc1ccc(F)c(NC(=O)Nc2ccc(-c3ccc4nccnc4c3N)cc2)c1
D210,Cc1c[nH]c2nccc(Oc3c(F)cc(Nc4cc(Cl)nc(N)n4)cc3F)c12
D211,O=C(Nc1cccc(N2CCOCC2)n1)Nc1ccnc2c(C(F)(F)F)cccc12
D212,Nc1ccc(-c2cncc(OCC(N)Cc3c[nH]c4ccccc34)c2)cc1C(=O)c1ccccc1
D213,O=C(NCc1ccccc1)c1cccc(-c2cnc3[nH]ccc3c2)c1
D214,Nc1n[nH]c2ccc(-c3nnn(Cc4ccccc4)c3-c3ccccc3)cc12
D215,CCCS(=O)(=O)Nc1ccc(-c2ccc3[nH]nc(NC(=O)CC)c3c2)cc1
D216,NCCNc1cc(-c2c[nH]c3ncccc23)cc(Cl)n1
D217,Cc1[nH]nc2ccc(-c3nnn(Cc4ccccc4)c3-c3ccc(F)cc3)cc12
D218,Cc1ccc(NC(=O)Nc2ccc(NC(=O)c3csc4ncnc(N)c34)cc2)cc1
D219,CC(=O)N1CCN(C2CCC(n3nc(-c4ccc(NC(=O)c5cc6ccccc6n5C)cc4)c4c(N)ncnc43)CC2)CC1
D220,CC1=C2CCCC(NNC(=O)Cc3cccc4ccccc34)=C2C=CC1=O
D221,CC(C)(CO)c1nnc2ccc(-c3c(-c4ccc(F)cc4F)nc4occn34)nn12
D222,COc1cccc(C=C2SC(Nc3ccccc3)=NC2=O)c1
D223,Clc1cc(-c2c[nH]c3ncccc23)ncn1
D224,COc1cc(C=C2SC(=S)NC2=O)ccc1O
D225,CC(=O)Nc1c(C(N)=O)sc2ccc(Cl)c(Cl)c12
D226,Cc1cccc(NC(=O)Nc2ccc(-c3csc4nc(N)nc(N)c34)cc2)c1
D227,Cc1cccc(NC(=O)Nc2ccc(-c3csc4c(C#CCN5CCCC5)cnc(N)c34)cc2)c1
D228,Nc1ccc(-c2cncc(OCC(N)Cc3c[nH]c4ccccc34)c2)cc1C(=O)c1cccc(Cl)c1
D229,OC1CCN(c2ncnc3[nH]cc(-c4ccccc4)c23)CC1
D230,O=C(Nc1cccc(C(F)(F)F)n1)Nc1ccnc2cc(C(F)(F)F)ccc12
D231,O=C1Nc2ccc3ncsc3c2C1=CNc1ccc(S(=O)(=O)Nc2ccccn2)cc1
D232,NC1CCC(Nc2nc(Cl)cc(-c3c[nH]c4ncccc34)n2)CC1
D233,O=C(Nc1ccc2[nH]ncc2c1)c1ccc(Cl)cc1
D234,OCCNc1cc2cc(-c3ccsc3)ccc2cn1
D235,CCCS(=O)(=O)Nc1ccc(-c2ccc3[nH]nc(NC(C)=O)c3c2)cc1
D236,Cc1ccc(-c2ccc(NC(=O)Nc3cccc(Br)c3)cc2)c2c(N)n[nH]c12
D237,COc1cc(N2CCN(C)CC2)ccc1C(=O)Nc1n[nH]c2ccc(Cc3cc(F)cc(F)c3)cc12
D238,CCOc1ccc(NC(=O)Nc2ccc(-c3csc4c(-c5cnn(C)c5)cnc(N)c34)cc2)cc1
D239,O=C(NC(CO)c1ccccc1)c1ccc(-c2ccncc2)cc1
D240,NC(=O)c1cc2c(-c3ccc(F)cc3)cncc2s1
D241,Cc1cccc(Nc2nc(NC3CCCCC3N)cnc2C(N)=O)c1
D242,O=C(Nc1cnc2[nH]cc(-c3ccccc3)c2c1)c1cccc(F)c1F
D243,COc1ccc(C=NNc2ncnc3c2[nH]c2ccccc23)cc1OC
D244,Cc1nc2c(sc3c(Br)ccc(Cl)c32)c(=O)o1
D245,Cc1[nH]nc2ccc(-c3cncc(OCC(N)Cc4cccc(Cl)c4)c3)cc12
D246,NC(COc1cncc(C=Cc2ccncc2)c1)Cc1c[nH]c2ccccc12
D247,COc1cccc(C(C)NC(=O)c2ccc(-c3ccncc3)cc2)c1
D248,Nc1n[nH]c2ccc(-c3nnn(Cc4ccccc4)c3I)cc12
D249,O=C(NNC(=S)Nc1ccc(F)cc1)C(O)(c1ccccc1)c1ccccc1
D250,COc1cc(C)c(Cl)cc1NC(=O)Nc1cnc(C#N)cn1
D251,Nc1nonc1-n1nnc(C(=O)NN=Cc2cccs2)c1-c1cccs1
D252,NCCCOc1cc2c(c(-c3ccc(Nc4nc5ccccc5o4)cc3)c1)CNC2=O
D253,COc1cc(-c2ccc3c(c2)Nc2ccc(C(=O)NCCNC(C)=O)cc2NC3=O)ccc1O
D254,NCC(O)C(O)Cn1cc(I)c2c(N)ncnc21
D255,O=C(Nc1cnccn1)Nc1ccnc2c(F)cccc12
D256,O=c1c(NCc2ccc(Cl)c(Cl)c2)c(Nc2ccncc2)c1=O
D257,Nc1ncnc2c1sc1ncnc(N)c12
D258,CN(C)CC(C)(C)CNc1nccc(-c2c(-c3ccc(F)cc3)nc3cnccn23)n1
D259,c1cc2cc(-c3ccc4cn[nH]c4c3)cnc2[nH]1
D260,Nc1nccc2scc(-c3ccc(NC(=O)Nc4cccc(Br)c4)cc3)c12
D261,COc1cccc(C(CN)NC(=O)c2ccc(-c3ccncc3)cc2)c1
D262,CCc1c(-c2ccc(C(C)(C)O)cc2)[nH]c2nccnc12
D263,O=C(Nc1cnccn1)Nc1ccnc2ccc(C(F)(F)F)cc12
D264,CC(C)(O)Cc1nnc2ccc(-c3c(-c4ccc(F)cc4F)nc4occn34)nn12
D265,OC1CCCC(Nc2cc(Cl)nc(-c3c[nH]c4ncccc34)n2)C1
D266,N#Cc1cccc(C(=O)Nc2n[nH]c3ccc(-c4cn(Cc5ccccc5)nn4)cc23)c1
D267,O=C(NCc1ccccc1)c1ccc(-c2ccncc2)cc1
D268,COc1ccc(NC(=O)Nc2ccc(-c3csc4c(-c5cnn(CCO)c5)cnc(N)c34)cc2)cc1
D269,CCCC(=O)Nc1n[nH]c2ccc(-c3cn(Cc4ccccc4)nn3)cc12
D270,O=C1Nc2ccccc2Nc2nnc(I)cc21
D271,CNC(=O)c1cc2c(-c3ccccc3F)[nH]nc2s1
D272,CN1CCC(C(=O)n2nc(N)c3cc(-c4cn(Cc5ccccc5)nn4)ccc32)CC1
D273,CNC(=O)COc1ccc(Nc2nc(Nc3ccc(C)c(S(N)(=O)=O)c3)ncc2F)cc1
